,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 6–1,Aston Villa,Brighton,Y,FW,90,3,1,0,0,6.0,4.0,0,0,38.0,0.0,0.0,2.0,0.8,0.8,0.4,10.0,4.0,17.0,24.0,70.8,3.0,30.0,5.0,3.0,2.0,/en/matches/2df9a3a1/Aston-Villa-Brighton-and-Hove-Albion-September-30-2023-Premier-League,1.0,0.3333333333333333,0.5625
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-05,Thu,Conf Lg,Group stage,Home,W 1–0,eng Aston Villa,ba Zrinjski Mostar,N,FW,45,0,0,0,0,2.0,0.0,0,0,15.0,0.0,0.0,0.0,0.1,0.1,0.2,4.0,0.0,9.0,11.0,81.8,0.0,12.0,1.0,1.0,0.0,/en/matches/83cda6e4/Aston-Villa-Zrinjski-Mostar-October-5-2023-Europa-Conference-League,1.0,0.6666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-10-08,Sun,Premier League,Matchweek 8,Away,D 1–1,Aston Villa,Wolves,Y,FW,90,0,1,0,0,3.0,1.0,0,0,26.0,0.0,0.0,2.0,0.3,0.3,0.3,1.0,1.0,7.0,12.0,58.3,1.0,12.0,0.0,1.0,0.0,/en/matches/3292ed35/Wolverhampton-Wanderers-Aston-Villa-October-8-2023-Premier-League,0.5,0.6666666666666666,0.4777777777777777
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-10-13,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,au Australia,Y,FW,72,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b1fbabe1/England-Australia-October-13-2023-Friendlies-M,1.0,0.8333333333333334,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-10-22,Sun,Premier League,Matchweek 9,Home,W 4–1,Aston Villa,West Ham,Y,FW,90,1,1,0,0,4.0,2.0,0,0,33.0,0.0,0.0,1.0,0.5,0.5,0.1,2.0,1.0,18.0,24.0,75.0,1.0,27.0,4.0,1.0,0.0,/en/matches/7efcc598/Aston-Villa-West-Ham-United-October-22-2023-Premier-League,1.0,0.8333333333333334,0.6428571428571429
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2023-10-26,Thu,Conf Lg,Group stage,Away,W 4–1,eng Aston Villa,nl AZ Alkmaar,Y,FW,85,1,0,0,0,1.0,1.0,0,0,19.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,12.0,16.0,75.0,1.0,11.0,0.0,2.0,1.0,/en/matches/7505cf4e/AZ-Alkmaar-Aston-Villa-October-26-2023-Europa-Conference-League,1.0,0.8333333333333334,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–1,Aston Villa,Luton Town,Y,FW,90,0,0,0,0,2.0,2.0,0,0,16.0,0.0,0.0,0.0,0.7,0.7,0.3,4.0,0.0,9.0,12.0,75.0,1.0,12.0,1.0,2.0,2.0,/en/matches/ee677172/Aston-Villa-Luton-Town-October-29-2023-Premier-League,1.0,1.0,0.2708333333333332
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2023-11-05,Sun,Premier League,Matchweek 11,Away,L 0–2,Aston Villa,Nott'ham Forest,Y,FW,90,0,0,0,0,2.0,1.0,0,0,29.0,1.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,18.0,22.0,81.8,1.0,18.0,3.0,1.0,0.0,/en/matches/ac18f108/Nottingham-Forest-Aston-Villa-November-5-2023-Premier-League,0.0,1.0,0.3888888888888889
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-11-09,Thu,Conf Lg,Group stage,Home,W 2–1,eng Aston Villa,nl AZ Alkmaar,Y,FW,90,1,0,0,0,2.0,1.0,0,0,16.0,0.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,9.0,13.0,69.2,2.0,8.0,0.0,1.0,1.0,/en/matches/41fb8ff8/Aston-Villa-AZ-Alkmaar-November-9-2023-Europa-Conference-League,1.0,0.6666666666666666,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–1,Aston Villa,Fulham,Y,FW,90,1,0,0,0,3.0,1.0,1,0,32.0,0.0,0.0,1.0,1.9,1.9,0.1,2.0,0.0,13.0,17.0,76.5,1.0,18.0,1.0,0.0,0.0,/en/matches/d6a70a44/Aston-Villa-Fulham-November-12-2023-Premier-League,1.0,0.6666666666666666,0.375
